5,"[4, 8, 27, 5, 32]"
6,"[19, 28, 32, 32, 32]"
7,"[20, 2, 11, 29, 17, 30]"
9,"[3, 18, 16, 0, 32]"
10,"[9, 23, 12, 13, 32]"
11,"[14, 10, 21, 26, 32]"
13,"[24, 6, 1, 22, 31, 15]"
14,"[7, 25, 32, 32, 32]"
